0:0:0:0:0:0:0:1 - - [02/May/2022:23:23:12 +0300] "POST /Expense_Management/router/api/session HTTP/1.1" 200 36
0:0:0:0:0:0:0:1 - - [02/May/2022:23:23:12 +0300] "GET /Expense_Management/html/add.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2022:23:23:12 +0300] "POST /Expense_Management/router/api/session HTTP/1.1" 200 36
0:0:0:0:0:0:0:1 - - [02/May/2022:23:23:12 +0300] "GET /Expense_Management/html/add.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2022:23:23:12 +0300] "POST /Expense_Management/router/api/session HTTP/1.1" 200 36
0:0:0:0:0:0:0:1 - - [02/May/2022:23:23:12 +0300] "GET /Expense_Management/html/add.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2022:23:23:12 +0300] "POST /Expense_Management/router/api/session HTTP/1.1" 200 36
0:0:0:0:0:0:0:1 - - [02/May/2022:23:23:13 +0300] "GET /Expense_Management/html/add.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2022:23:23:13 +0300] "POST /Expense_Management/router/api/session HTTP/1.1" 200 36
0:0:0:0:0:0:0:1 - - [02/May/2022:23:31:55 +0300] "GET /Expense_Management/html/add.html HTTP/1.1" 200 5273
0:0:0:0:0:0:0:1 - - [02/May/2022:23:31:56 +0300] "POST /Expense_Management/router/api/session HTTP/1.1" 200 36
0:0:0:0:0:0:0:1 - - [02/May/2022:23:31:56 +0300] "GET /Expense_Management/html/add.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2022:23:31:56 +0300] "POST /Expense_Management/router/api/session HTTP/1.1" 200 36
0:0:0:0:0:0:0:1 - - [02/May/2022:23:31:56 +0300] "GET /Expense_Management/html/add.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2022:23:31:56 +0300] "POST /Expense_Management/router/api/session HTTP/1.1" 200 36
0:0:0:0:0:0:0:1 - - [02/May/2022:23:31:57 +0300] "GET /Expense_Management/html/add.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2022:23:31:57 +0300] "POST /Expense_Management/router/api/session HTTP/1.1" 200 36
