127.0.0.1 - - [26/Apr/2022:00:32:47 +0300] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [26/Apr/2022:01:33:38 +0300] "GET /Expense_Management/html/library.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2022:01:33:38 +0300] "POST /Expense_Management/router/api/session HTTP/1.1" 200 36
0:0:0:0:0:0:0:1 - - [26/Apr/2022:01:33:38 +0300] "POST /Expense_Management/router/api/home HTTP/1.1" 200 132
0:0:0:0:0:0:0:1 - - [26/Apr/2022:01:34:53 +0300] "GET /Expense_Management/html/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2022:01:34:53 +0300] "GET /Expense_Management/html/library.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2022:01:34:53 +0300] "POST /Expense_Management/router/api/session HTTP/1.1" 200 36
0:0:0:0:0:0:0:1 - - [26/Apr/2022:01:34:53 +0300] "POST /Expense_Management/router/api/home HTTP/1.1" 200 132
0:0:0:0:0:0:0:1 - - [26/Apr/2022:01:34:54 +0300] "GET /Expense_Management/html/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2022:01:34:54 +0300] "POST /Expense_Management/router/api/session HTTP/1.1" 200 36
0:0:0:0:0:0:0:1 - - [26/Apr/2022:01:34:54 +0300] "POST /Expense_Management/router/api/home HTTP/1.1" 200 132
0:0:0:0:0:0:0:1 - - [26/Apr/2022:01:36:04 +0300] "POST /Expense_Management/router/api/logout HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Apr/2022:01:36:04 +0300] "GET /Expense_Management/html/library.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2022:01:36:14 +0300] "POST /Expense_Management/router/api/home HTTP/1.1" 500 40
0:0:0:0:0:0:0:1 - - [26/Apr/2022:01:36:14 +0300] "POST /Expense_Management/router/api/session HTTP/1.1" 200 36
0:0:0:0:0:0:0:1 - - [26/Apr/2022:01:36:19 +0300] "POST /Expense_Management/router/api/login HTTP/1.1" 200 50
0:0:0:0:0:0:0:1 - - [26/Apr/2022:01:36:19 +0300] "POST /Expense_Management/router/api/session HTTP/1.1" 200 36
